"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C6,C4,C5";"C_0805_2012Metric";4;"100nF";;;
2;"R16,R17";"R_0805_2012Metric";2;"600";;;
3;"R6,R3";"RC2512N_VIS";2;"1K";;;
4;"J3";"MFJ_2X1";1;"TSAL_CONN_LV";;;
5;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SI1539CDL-T1-GE3";;;
6;"D1,D4";"D_SOD-523";2;"1N4448X-TP";;;
7;"PS2,PS1";"SMD5_12.75X10.7X6.7_SINGLE_RCP";2;"PESE1-S12-S5-M-TR";;;
8;"R5,R2";"RC2512N_VIS";2;"110K";;;
9;"G***,G***";"electric-shock-symbol";2;"LOGO";;;
10;"U1,U2";"SOIC127P1150X361-8N";2;"ACPL-C87A-500E";;;
11;"J6";"APP_ASMPR45-1X2-RK";1;"CONN_CAP";;;
12;"R4,R1";"RC2512N_VIS";2;"124K";;;
13;"D3";"WL-TMRC_3MM";1;"151031SS06000";;;
14;"R10,R12,R14,R11,R15,R13,R9";"R_0805_2012Metric";7;"10K";;;
15;"J2";"MFJ_2X1";1;"TSAL_CONN_AIR";;;
16;"R8";"R_0805_2012Metric";1;"9K7";;;
17;"J5";"APP_ASMPR45-1X2-RK";1;"CONN_HV";;;
18;"K1";"RELAY_G9KB-1A_OMR";1;"12V";;;
19;"J1";"MFJ_2X1";1;"CONN_AIR";;;
20;"U3";"SOIC127P600X175-8N";1;"MC33072DR2G";;;
21;"D2";"WL-TMRC_3MM";1;"151031VS06000";;;
22;"J4";"MFJ_2X1";1;"CONN_LV";;;
23;"U4";"SOT-23-5";1;"TL331";;;
24;"R7";"PWR263S-35-1002F_BRN";1;"15K";;;
